OBJECTID,Section,Shape__Area,Shape__Length
1,7,10491515.3354492,16068.0005965106
2,8,6541.2412109375,469.308666659457
3,6,28645289.3449707,21431.0192600369
4,5,22598493.322998,19511.0228590824
5,4,5934850.18945313,12180.9214993076
6,31,25055168.0891113,20017.1861225734
7,32,24787704.6638184,19988.8652836487
8,33,24366338.0290527,19470.951050695
9,34,15038193.2663574,16585.1367188107
10,35,3686622.52758789,9864.42131680492
11,28,28790094.3137207,21476.2589815275
12,29,29173721.1938477,21584.9863009466
13,30,29381854.8249512,21733.8365960684
14,27,28549030.9396973,21385.2310717662
15,26,28353220.7299805,21037.3348827127
16,25,26058746.564209,20746.0799451446
17,27,15528365.5046387,18395.7561352072
18,28,14538581.2912598,16135.2515782629
19,26,14677828.7404785,17178.3110545495
20,25,5953.57397460938,369.454367270059
21,30,28165403.7839355,20784.0804500883
22,29,23038661.2451172,19396.3560394008
23,21,28893155.2089844,21473.1043988407
24,22,28349938.5090332,21306.5090930029
25,20,29150878.9411621,21608.1132565886
26,19,29143656.9213867,21623.287741319
27,23,28440694.4887695,21352.9333003906
28,24,28373802.5681152,21326.7446356041
29,23,27830641.6953125,21182.770318517
30,24,7979548.53125,13044.9157806587
31,21,28185443.5600586,21236.6077570406
32,22,27738831.9777832,21061.0463626283
33,19,27689037.1149902,21080.6740885683
34,20,27858796.2001953,21047.0313064749
35,15,28477298.9455566,21314.387272352
36,16,28500356.9555664,21370.5711451017
37,16,27861756.4472656,21172.8547323345
38,15,27244266.2719727,20854.401892664
39,17,28841308.4936523,21458.8363211209
40,18,29269188.1403809,21639.4764074099
41,14,28327128.5825195,21331.292576795
42,13,28252622.28125,21238.0879648636
43,GS18,3099150.50610352,11906.7730653558
44,14,28218483.1105957,21249.6769849449
45,13,5285828.51147461,13114.4169173283
46,18,27761982.5046387,21076.8251119935
47,17,27344815.2182617,20902.6100785837
48,10,27042497.229248,20810.8014798922
49,9,28489883.0334473,21277.3970973794
50,11,27912944.2141113,21164.4226375792
51,12,5485157.25146484,14126.6068961008
52,7,27755047.5461426,21122.8447181303
53,8,27690653.8859863,21019.5765662938
54,8,28547638.9689941,21379.9562099268
55,7,29097895.6791992,21573.3815735499
56,GS7,2828413.2434082,11669.6220743368
57,11,28577432.6027832,21372.1637041431
58,12,28507036.9658203,21351.4163028926
59,9,28965861.9172363,21520.9867161109
60,10,28866016.1401367,21489.4424002607
61,6,1863454.94995117,6667.37965070433
62,1,23371034.1330566,19344.4408935009
63,2,27879005.333252,21088.1831660253
64,3,27425717.5825195,20953.244251802
65,2,28223133.3015137,21270.423432875
66,1,28359584.8183594,21292.4089118422
67,4,28644095.6989746,21389.4290839078
68,3,28103402.4262695,21245.4795315775
69,6,28422543.1447754,21356.3028086389
70,5,28298817.3361816,21307.7314961627
71,4,28285267.8408203,21243.8435471096
72,5,28177695.3393555,21203.2777894105
73,6,29487178.4946289,21688.6860750876
74,GS6,2426182.38085938,11581.4120979328
75,34,27097501.0874023,20793.8636480266
76,31,27597670.1330566,20978.12282839
77,32,817992.689208984,4219.82778593968
78,31,21168588.8117676,18889.7275965001
79,35,27713429.767334,21057.8152986619
80,36,28017224.2099609,21186.586380302
81,32,27398862.9157715,20999.5374938615
82,33,27742137.6369629,21087.6157731299
83,33,27676495.5986328,21069.5771215821
84,34,28070040.060791,21164.592269685
85,32,28206825.3195801,21202.479696272
86,31,29167309.3986816,21642.8077619438
87,35,28599585.7919922,21382.9770343908
88,36,28274586.989502,21283.838979532
89,GS31,2094856.31396484,11455.8927258151
90,36,27249281.753418,20871.837026842
91,33,27478166.7946777,20970.9959064992
92,34,27748096.1101074,21074.5237991
93,35,27766445.0070801,21078.6886322296
94,32,28083649.5102539,21197.9285224038
95,31,31130121.8623047,22352.2771329524
96,25,27776740.8581543,21089.5196506322
97,30,28379410.1472168,21313.9467709203
98,27,27182218.637207,20879.0255918286
99,26,27666091.3808594,21003.5426691807
100,30,27606845.5922852,21007.2532679125
101,29,14182127.5932617,15903.0992583536
102,29,27720949.4741211,21076.793081465
103,28,28110889.5419922,21177.630766101
104,27,28099306.0427246,21204.1150412559
105,29,28326414.7568359,21289.0796771835
106,28,28219983.8024902,21245.4692056639
107,30,29140963.6159668,21578.4228087386
108,GS30,1950689.85913086,11363.1463597605
109,26,28650320.0720215,21411.2656664769
110,25,28272636.4460449,21262.8378660019
111,25,27208744.222168,20880.0925799827
112,28,27879363.4846191,21119.6358140997
113,29,28047168.5639648,21186.1943710563
114,27,27506369.0651855,20982.9060531729
115,26,27792515.345459,21089.1740649189
116,30,30800082.2128906,22222.8808161755
117,19,28546445.7683105,21367.6641188733
118,22,27473697.9470215,20987.6998272617
119,23,27595764.1870117,20995.8876196056
120,20,12696507.8830566,17935.0847045185
121,20,27728035.2570801,21068.3653946558
122,21,27869623.9990234,21142.4865645811
123,19,27892321.4226074,21140.1114444413
124,24,28016138.2397461,21095.658593116
125,21,28180039.0961914,21235.3084646846
126,20,27965713.8640137,21154.1274343451
127,22,27821232.1647949,21099.4698108725
128,19,29421982.2177734,21679.7384443966
129,GS19,1795627.62182617,11329.0266555317
130,23,29029599.3679199,21553.9811672478
131,24,27900612.5024414,21138.0744335832
132,24,26922288.2438965,20794.209277761
133,21,27870486.5598145,21118.4874033892
134,22,27504293.5910645,20982.8292642971
135,23,27494616.4370117,20974.7736379317
136,20,28050315.8586426,21185.4641815011
137,19,30570477.276123,22134.6269617254
138,16,27772925.199707,21078.0476902566
139,15,27530688.8083496,20984.1812712448
140,14,27861991.8874512,21126.0279518492
141,18,28178737.4934082,21215.2265406546
142,13,27475156.4125977,21106.5688133145
143,17,25145784.6396484,19834.2638595351
144,16,2789091.76513672,8161.13054989038
145,18,29294513.0351563,21611.9396074715
146,17,28103976.3635254,21210.0128679457
147,16,28168769.7763672,21231.0315768554
148,17,27655795.8566895,21036.8429553117
149,15,27888555.7893066,21124.7015889516
150,18,29396664.3369141,21693.875615472
151,GS18,1189304.66235352,11007.6010671101
152,14,28901586.1325684,21507.0599180638
153,13,27721075.6184082,21075.8342602787
154,13,27062249.6174316,20816.3107642406
155,15,27612806.5036621,21021.1131582127
156,14,27538866.1862793,20991.7618191205
157,16,27779275.0319824,21083.4469354719
158,17,27968902.4135742,21154.6379716099
159,18,30338562.5944824,22046.8819158764
160,9,28160404.0932617,21237.4676271097
161,10,27268437.1162109,20885.5256689871
162,11,28148245.7983398,21210.5803827508
163,7,28266478.1574707,21263.6954691878
164,10,5372462.55419922,12114.4809906165
165,8,28130324.5134277,21225.6397143747
166,9,23658148.154541,19615.9030489424
167,7,28523247.185791,21387.782144816
168,8,27951378.4042969,21163.0377853153
169,12,28114315.2722168,21182.5997708038
170,8,27729721.6149902,21065.4632335435
171,9,28149631.111084,21215.5013036514
172,7,29536154.5695801,21742.6828949456
173,GS7,734218.879638672,10931.1117685923
174,12,27919305.1057129,21144.9705579338
175,10,28244432.6638184,21264.1339793371
176,11,28992251.3210449,21522.7495569895
177,12,27308588.4853516,20854.9598783944
178,11,27666475.4943848,21028.5232350079
179,10,27587832.2177734,21013.4710761722
180,9,27783430.3955078,21084.4902178394
181,8,27986376.7878418,21166.1197989916
182,7,30028479.4458008,21926.5714287116
183,4,26037121.1350098,20425.68657653
184,5,25991367.7397461,20390.8681230556
185,3,26260738.5683594,20532.6876216083
186,GS6,226490.963867188,10127.0103603253
187,6,27817765.7575684,21117.9458121472
188,2,14950953.9782715,15917.6736451746
189,2,26907269.6323242,20788.6329862065
190,1,27237903.4560547,20883.3491482741
191,3,27807096.7849121,20896.0487303445
192,1,26512288.888916,20670.2865740289
193,6,28293412.5766602,21294.5051554754
194,4,28109316.1635742,21205.9172479902
195,5,28712562.1652832,21426.8637049886
196,2,26363541.2543945,20545.6387839767
197,5,28307559.5292969,21284.209428848
198,4,29133330.713623,21599.5595541863
199,1,28919159.842041,21555.413484496
200,6,28478651.3308105,21351.7943651594
201,3,28096545.6635742,21208.7911419733
202,2,29679570.8557129,21824.7046029157
203,3,26257405.8994141,20495.6359959166
204,4,25224901.5947266,20219.4466998084
205,5,26588414.3217773,20529.9537734847
206,6,28247357.0290527,21280.3418412875
207,35,24686009.0905762,19822.2985555653
208,34,28120643.3730469,21209.8001366483
209,36,28108311.6315918,21211.8278846749
210,33,28174363.359375,21230.1434257673
211,35,27999095.8286133,21163.0673713548
212,34,28614544.5134277,21446.4762024984
213,33,28015440.6730957,21193.6959258294
214,35,28782218.0163574,21443.4673630402
215,32,28716314.0021973,21429.4742109651
216,34,27860165.7209473,21101.4563064411
217,35,27715818.6687012,21032.5499179002
218,32,28140519.6467285,21211.5535265895
219,36,28784436.2346191,21424.6567379719
220,31,28559582.3269043,21391.9225959326
221,36,28066521.5371094,21219.0506816574
222,31,28426927.470459,21322.281317267
223,34,28156763.1318359,21239.1322511194
224,33,29039268.3930664,21555.8418269275
225,33,27977159.2182617,21160.8700936882
226,31,29531444.4382324,21734.0836888318
227,32,29429274.4926758,21713.421766131
228,32,27974250.0925293,21155.1628566965
229,31,28031633.0175781,21246.1347181382
230,26,22757664.0480957,19776.6879198005
231,27,27958734.706543,21145.8590257954
232,28,28200098.6237793,21247.9553338574
233,25,27790364.3967285,21098.0663952037
234,26,27936825.9477539,21137.7267683073
235,26,27755741.4321289,21103.849187176
236,25,28204500.1501465,21246.8615996459
237,29,27812889.3937988,21101.4006389216
238,25,28815412.1245117,21486.4721531295
239,30,28406897.7775879,21294.8087046882
240,30,27702367.7387695,21044.7079147877
241,29,28886603.8029785,21521.1748753543
242,26,28450388.5600586,21297.1193936475
243,28,28465406.923584,21356.8113684603
244,27,28475860.6608887,21327.0163534692
245,27,28367943.2072754,21305.6968254573
246,27,28497240.7045898,21343.1002101997
247,28,27993066.4328613,21195.2612658744
248,30,27962936.9326172,21145.4164228659
249,29,28276288.2050781,21255.832562084
250,28,28793075.6433105,21439.4046876117
251,29,28640973.9440918,21417.9833876855
252,30,28254925.1452637,21285.8345988935
253,23,16782016.4550781,17042.5176284062
254,22,27637861.6538086,21048.2888561424
255,24,27680474.8449707,21055.6220163353
256,23,28002927.3288574,21149.7203630149
257,21,28311448.5305176,21276.4543525289
258,24,28457709.7729492,21316.4338050177
259,23,27811849.8981934,21106.4450463311
260,20,28001435.7346191,21170.9539606773
261,19,28571047.5617676,21329.7899678695
262,22,28562872.0441895,21391.9853491831
263,20,28751417.9064941,21443.1353169365
264,19,28187492.032959,21242.7376350975
265,21,28301762.0524902,21297.0099852772
266,22,28699489.4460449,21413.8820967242
267,24,28993829.5283203,21565.0769928135
268,21,28099659.2563477,21155.2792550402
269,20,28221555.0251465,21258.6288304992
270,23,28725169.1726074,21437.7550664134
271,22,28660668.208252,21408.9793753909
272,19,28349925.8308105,21302.8223308669
273,19,28338900.3476563,21286.5776966647
274,20,28623936.2468262,21428.3268552782
275,21,28963238.0861816,21498.4294249213
276,15,27722651.9868164,21076.7069581949
277,14,11278219.7670898,15039.619173938
278,14,27970321.3564453,21179.2816097861
279,13,27131787.7663574,20832.0264647106
280,16,28029703.1418457,21145.7069121891
281,13,28381506.4758301,21307.7714872964
282,14,28220019.6696777,21257.8408834524
283,17,27861994.8747559,21146.6744997031
284,18,28199481.8962402,21274.4029859524
285,17,28364300.791748,21286.5849849506
286,15,28646723.9433594,21356.4442799159
287,16,28191853.3000488,21282.9056460173
288,18,27860561.5852051,21114.1825380984
289,15,28686425.2124023,21374.0911936239
290,13,28637132.3378906,21412.779634089
291,17,28645579.0693359,21458.9827991159
292,16,28033189.8310547,21192.6222907932
293,18,28855422.784668,21410.756733808
294,15,28232608.8510742,21289.8202425354
295,14,28299063.6057129,21261.6846799385
296,18,28021588.7880859,21184.3973623032
297,17,28143106.5332031,21171.5235705273
298,16,28180736.0273438,21247.2892565892
299,11,6129287.95654297,12952.8482158172
300,10,27756666.8723145,21092.537286709
301,9,28418599.8435059,21303.7803438402
302,12,28342171.8083496,21271.2969025141
303,8,28019356.6955566,21155.2600831214
304,11,28812314.2575684,21465.8286626546
305,7,28196506.3830566,21251.3174779792
306,11,28280295.465332,21267.5058961542
307,8,28509230.769043,21425.5892877342
308,10,28691307.8691406,21448.2691764392
309,9,28536156.5439453,21266.2944077284
310,10,28730391.6101074,21505.7481971497
311,7,28219054.7275391,21249.2418039714
312,12,27677995.1079102,21076.500884968
313,9,27969817.6379395,21167.5729204542
314,8,28389843.1088867,21305.6664333782
315,7,28486962.4118652,21384.4788549746
316,12,29003075.8010254,21556.2851257279
317,10,28176553.7092285,21268.1602871595
318,11,28383837.4204102,21349.5827408059
319,7,27925327.536377,21139.7419643976
320,8,27904613.5666504,21165.0538683718
321,9,28154284.779541,21209.7716987942
322,2,3648967.8918457,12593.6637782169
323,3,29404573.2106934,21699.7785380882
324,4,28800698.2880859,21520.9136016819
325,5,27677827.4165039,21021.9473834492
326,6,28238509.1862793,21277.5088586356
327,1,28246741.3007813,21246.2643727448
328,3,28092778.6889648,21222.1777535455
329,2,28163592.9482422,21227.0296801174
330,4,27232589.953125,20879.1625902657
331,6,27390876.104248,20965.0187787684
332,5,27999045.7119141,21165.7428731814
333,1,27866746.015625,21107.4923403778
334,2,26605904.2333984,20641.2964422679
335,3,26644092.1416016,20668.6955842324
336,4,26943045.6469727,20766.827738904
337,5,26669500.4641113,20683.67981432
338,6,27238688.2800293,20861.2775680921
339,1,27777958.1716309,21096.6523762411
340,2,30106798.2973633,21982.3424076137
341,3,29679228.1625977,21810.0113003542
342,4,28638007.4724121,21376.3469167391
343,5,28278283.8442383,21280.3887858116
344,6,28778223.0483398,21422.2480778546
345,36,28170205.4938965,21235.046114739
346,34,28324521.0551758,21266.5182031292
347,35,28643055.9160156,21423.4905224092
348,33,28477883.4592285,21344.1673355547
349,32,28257395.3059082,21268.9320062569
350,36,28208475.046875,21239.3600185372
351,31,28611824.9521484,21363.1688355365
352,35,28189212.2614746,21234.5689045416
353,34,28138370.458252,21200.9927956585
354,31,29231147.7033691,21638.0570948744
355,32,28299842.6711426,21290.7185611383
356,33,28237075.9006348,21280.2771807642
357,35,13620692.8681641,16492.5892960521
358,32,29319164.0495605,21675.2973977498
359,31,27942317.0410156,21137.5846916301
360,36,28021127.5883789,21182.6539265859
361,33,29971155.4506836,21838.3809680985
362,34,30238583.2058105,22054.6712509454
363,31,28105000.8010254,21231.4359306458
364,32,28295462.9504395,21266.7959577257
365,33,28476629.8908691,21354.2614952294
366,34,28481740.2944336,21360.0312052316
367,35,28348249.1499023,21297.9590543652
368,26,28026451.5568848,21152.4085840921
369,25,28016825.3815918,21200.0943927912
370,28,28489824.404541,21349.7377438329
371,30,28132554.6967773,21210.4173824853
372,29,28123232.5136719,21227.1943216846
373,25,27950395.357666,21152.7489471837
374,27,28583237.489502,21444.3878713952
375,26,29185825.4748535,21615.0147762087
376,27,27897969.6564941,21128.9951125766
377,29,28464674.762207,21315.8946817906
378,28,28307320.4904785,21278.3102850251
379,30,27752087.8063965,21076.8607273572
380,25,2744795.48681641,7740.42096750237
381,30,28536321.0058594,21372.0163256962
382,26,25947437.1721191,20186.0949079392
383,27,28697442.2758789,21412.2380953786
384,29,28572009.4814453,21409.2476229138
385,28,28394718.9436035,21314.3802645575
386,25,27939662.7216797,21151.7830800107
387,26,28177371.6870117,21222.5329402369
388,30,28586465.6938477,21391.9114781421
389,27,28292982.4003906,21267.351544077
390,29,28258528.4279785,21255.4346173512
391,28,28571261.8093262,21392.3813439363
392,21,28045040.2666016,21212.5876355243
393,24,28654926.2653809,21429.1196555285
394,19,28001335.1054688,21164.5438749777
395,20,28264668.3867188,21241.378839311
396,23,28252125.6894531,21256.3339123878
397,24,27547653.0793457,20997.0899079738
398,22,28944756.6149902,21470.4941453957
399,23,29038823.0058594,21530.8527169031
400,22,28102820.7097168,21208.7562319399
401,19,27298223.1469727,20946.7948720649
402,20,28016811.9931641,21181.4351106825
403,21,28353611.9924316,21289.7329998949
404,19,28343326.7785645,21286.0863931512
405,22,28556956.9829102,21350.1403204193
406,20,28358078.9638672,21307.4237307975
407,21,28303582.1750488,21280.7216845792
408,23,28157597.3085938,21234.2195147863
409,19,28551320.7609863,21363.9101983577
410,24,16803458.6264648,17993.0741279679
411,23,28267976.9069824,21271.8846517946
412,24,28238760.5,21206.6835375853
413,22,28488235.9763184,21330.443000268
414,20,28079916.8071289,21213.9573254315
415,21,28677440.7036133,21354.179871556
416,16,28312053.4335938,21250.1218650424
417,13,28658625.1428223,21399.5984692088
418,17,28573347.6228027,21386.3759321324
419,14,27975573.263916,21156.9249917801
420,18,28096532.251709,21205.6220095085
421,15,29284738.3569336,21668.6056907059
422,14,29058523.1582031,21612.7992683043
423,13,27072377.6586914,20821.0679564567
424,15,27771363.642334,21118.6791665419
425,16,28469483.2653809,21354.1485934948
426,18,27746318.3276367,21061.4085421532
427,17,28050383.5336914,21165.5776823643
428,15,28494410.4396973,21361.7433217401
429,18,28155699.1015625,21241.9312089848
430,18,108828.538574219,2073.74636679532
431,14,28119337.9584961,21228.321009041
432,17,28494434.4299316,21333.1107100248
433,16,28297416.4389648,21280.5741152337
434,13,24934181.4304199,21179.394148649
435,18,28826743.7124023,21457.8435819391
436,14,28456139.9101563,21359.1834672173
437,13,28110878.7050781,21222.9066941575
438,17,28155671.0646973,21241.8368741808
439,16,28404535.8933105,21373.1290602416
440,15,28770575.7695313,21491.1716298868
441,11,27785656.4978027,21089.9323080482
442,12,28968563.0905762,21533.0951444054
443,7,28086542.6948242,21202.7548574391
444,8,28702451.6408691,21433.5149366209
445,9,28167803.2731934,21235.9827740361
446,10,29294139.8581543,21673.043701888
447,11,29607105.9729004,21743.148502359
448,10,27760264.1940918,21041.0132925238
449,12,27221140.8144531,20870.4414147704
450,9,28608073.1931152,21401.6354347691
451,8,27817053.9765625,21126.9112146537
452,7,27581449.112793,20979.8960677404
453,8,28084022.2927246,21184.2186068888
454,7,28075245.019043,21191.1885007845
455,9,28062844.4526367,21209.9464894219
456,10,28541550.4008789,21344.524351974
457,11,28288367.6350098,21268.8251419237
458,7,28916162.645752,21488.061582315
459,8,825053.518554688,4229.99734648132
460,12,28514549.1762695,21371.0774070044
461,7,17849772.3486328,18690.065517333
462,12,27899627.1196289,21146.2949435625
463,11,28367661.5185547,21253.9563747979
464,10,28606254.420166,21367.3827779776
465,8,28284744.0266113,21288.5924782719
466,9,28475956.4997559,21349.3110402172
467,3,27741222.6745605,21074.0510060712
468,2,27882135.7607422,21122.2379169712
469,4,28354608.7233887,21295.2941934753
470,1,29064040.9248047,21559.1862378745
471,5,27493339.6772461,20989.3604647862
472,6,27067794.5102539,20811.4154452863
473,1,27002155.248291,20792.062276776
474,6,28515216.925293,21355.5024345575
475,4,27919091.1796875,21147.0462951609
476,5,28048880.9042969,21198.7617523516
477,2,27077921.4372559,20839.2300064689
478,3,28196372.2644043,21231.905287954
479,6,28145014.0229492,21224.2615284546
480,5,29228396.8850098,21623.7264652827
481,1,27845120.9968262,21107.8513691952
482,4,28814756.6669922,21463.3464726833
483,2,30451090.2387695,22072.2781328027
484,3,30051843.769043,21927.0033447854
485,3,27513071.3566895,20997.0809241711
486,2,28179012.1225586,21226.443907869
487,4,27259459.3271484,20883.3524967303
488,1,28040759.2434082,21175.505831722
489,5,27491204.5734863,20967.7923091565
490,6,27869531.5273438,21108.7397777606
491,6,28994228.4160156,21561.2300102991
492,5,13425011.1623535,15801.9578395696
493,34,28599850.7009277,21355.8468987956
494,35,28648034.6391602,21396.7405370358
495,36,28526272.2834473,21380.3963536283
496,33,27657126.0073242,21059.6037027461
497,36,28032408.1884766,21180.0344619833
498,31,28461741.9572754,21355.8640497499
499,32,28004196.4589844,21130.3543402056
500,32,28196366.234375,21205.6318388097
501,31,27450434.4511719,20957.041917386
502,33,27682400.746582,21073.6576536467
503,31,27528235.3637695,21018.7678913935
504,35,28265668.4567871,21278.2653585451
505,33,28079822.3718262,21195.1228955442
506,32,28176715.0432129,21206.6225497879
507,34,28329990.7663574,21287.8503513669
508,34,28185140.7753906,21268.6130758114
509,35,28233697.4916992,21305.1006723736
510,36,28552056.1582031,21337.5348452294
511,33,28119305.9836426,21225.353590421
512,34,28457178.5690918,21326.2376756963
513,32,21405274.310791,19812.7328358506
514,33,76654.1809082031,1233.41815574657
515,31,28797461.9389648,21472.0311820452
516,32,28292308.0947266,21270.0728350034
517,35,28453191.2180176,21360.5827933904
518,36,28203302.6625977,21234.8844529353
519,31,28663755.3186035,21406.218120224
520,27,28569284.3637695,21382.9784759526
521,30,27995636.0876465,21159.3119004383
522,26,28645478.5397949,21428.7221557545
523,25,28597824.097168,21395.7528761305
524,29,27995290.5393066,21180.1416869591
525,25,27857527.2553711,21108.560025036
526,28,27820992.0649414,21113.3647696152
527,29,27680425.8691406,21064.0823236891
528,30,27356847.5332031,20919.2826756716
529,28,27727512.7092285,21056.3388104987
530,25,28035930.7058105,21222.1465222512
531,28,28222497.8925781,21263.2969257153
532,30,28021782.6987305,21169.2289160424
533,27,28064141.1660156,21206.3658929372
534,26,28466687.8498535,21293.1710990668
535,27,28636032.1403809,21393.0661928416
536,29,28062494.6977539,21190.9593381482
537,26,28628887.3369141,21402.2927783221
538,30,28976977.8591309,21541.6271110008
539,29,28396753.572998,21318.3398308109
540,28,28355571.760498,21287.3599522184
541,27,28478072.828125,21359.3420680192
542,30,28458433.7438965,21333.5031288267
543,26,28486180.177002,21359.0803412772
544,25,28072745.3115234,21159.0290050543
545,29,28159870.9707031,21229.9236327692
546,28,9938168.94482422,15411.7625128099
547,19,27849651.7058105,21119.0685130164
548,24,28465325.2021484,21330.4209163477
549,23,28941026.328125,21526.4288105926
550,20,28185273.2785645,21239.3862983738
551,22,28781090.8999023,21460.9034476485
552,24,27743364.2243652,21059.9114608066
553,21,28038813.8466797,21197.8476980212
554,21,28335014.470459,21283.1144714146
555,24,27996350.6748047,21180.3466815513
556,21,28139416.0932617,21139.387607049
557,22,28712901.3977051,21439.4468082903
558,23,28229955.4758301,21260.7094146663
559,22,27715265.0551758,21097.1966657719
560,20,27478097.4291992,20977.449747197
561,19,28339501.2585449,21289.0997724205
562,19,27719860.5058594,21036.0726681781
563,23,28593450.1745605,21389.6019024325
564,20,27865519.8730469,21110.2569894303
565,24,28166591.7624512,21235.0251587093
566,19,28465558.5620117,21340.4787882882
567,21,28248788.6379395,21279.5072974753
568,23,28568409.0639648,21389.9072510799
569,19,29057669.2346191,21562.7721245312
570,20,28457288.380127,21332.0098640362
571,22,28528175.0175781,21361.9994274651
572,20,28338850.3864746,21274.9313495569
573,21,23230645.3227539,20162.8540456878
574,22,1721818.48535156,5963.86642029747
575,18,27958758.576416,21132.1964420081
576,13,28440607.7648926,21351.7579983988
577,14,29013591.6196289,21545.33491602
578,17,28328604.5666504,21276.317239819
579,13,27785937.1625977,21063.1874110713
580,15,28609949.6633301,21386.743172573
581,16,28602182.5305176,21348.5266027867
582,16,27630653.8510742,21114.0791315907
583,18,27999013.6264648,21155.754840341
584,15,28631874.5253906,21446.0465552735
585,14,28380736.6716309,21326.5726424882
586,15,27795527.5136719,21050.3266123742
587,16,28224285.453125,21258.9367441288
588,14,28474016.4304199,21345.5712857137
589,13,27775117.4619141,21091.5936955547
590,17,27480267.3415527,20995.2430627526
591,17,27160090.0327148,20864.1796960238
592,18,27468804.6413574,21008.1492250483
593,18,28883979.6618652,21469.1470879408
594,17,28159769.0517578,21215.2959670837
595,17,28036014.2651367,21184.3917092926
596,18,28265404.979248,21251.8652278206
597,14,28689101.2893066,21430.3133633008
598,16,27937327.3190918,21142.3779864948
599,15,15357054.5683594,15979.7192960225
600,16,28279059.4123535,21265.8552302605
601,15,28665210.7124023,21427.3394061095
602,13,28638815.8061523,21433.8952123556
603,7,28038195.2434082,21185.0335365239
604,8,28298104.9172363,21291.8593260706
605,11,29067521.8583984,21551.4569533466
606,12,28642854.3745117,21381.1896203768
607,9,28300367.2805176,21267.4542911273
608,10,27674740.1418457,21061.3524565854
609,9,27809287.5095215,21099.9092698562
610,10,28694159.9645996,21446.8005814139
611,11,28575823.4648438,21403.7226321594
612,12,27867289.0178223,21101.3351011319
613,7,28363271.8059082,21308.1902722314
614,10,28567194.776123,21400.8927895996
615,11,28242688.4633789,21249.1999132286
616,12,28065098.9157715,21195.1280944844
617,8,27402510.5471191,20962.9358719358
618,8,28169922.6257324,21221.8039067127
619,9,27811710.3620605,21089.9825551607
620,8,27196824.6606445,20857.9836460438
621,9,28370292.8500977,21313.1155019863
622,8,28058368.0498047,21208.0734638382
623,10,20857300.8554688,19192.6619421325
624,7,27339646.8996582,20925.1038213636
625,11,28634124.28125,21427.3276383783
626,7,28306642.5852051,21281.3939366414
627,7,29408049.3295898,21644.0706359667
628,9,28306501.8569336,21257.8858027883
629,10,28577285.9243164,21378.9171248458
630,12,27634144.7719727,21044.9846915982
631,6,28336601.0703125,21289.6560316718
632,5,28366958.8557129,21310.2081767521
633,4,28383408.8596191,21328.9939414316
634,3,28349574.0571289,21288.4575896282
635,6,27463794.9736328,21046.8613211787
636,4,27223304.3134766,20862.0414641886
637,3,27668224.0305176,21036.1464128398
638,5,26870347.7006836,20719.7323414276
639,2,28116136.3405762,21199.2446768111
640,1,27640564.4287109,21032.1523477057
641,6,27336513.036377,20923.5365020558
642,5,27423612.6298828,20987.0825326006
643,2,27992793.855957,21173.5938757734
644,1,27822092.4233398,21104.0757265005
645,1,28494246.0112305,21378.9132421296
646,6,28074363.3378906,21185.7605364823
647,2,28685345.9853516,21418.7322147296
648,4,28008964.2248535,21166.9844869673
649,3,29151630.107666,21583.2130778435
650,5,28061981.4125977,21184.4138499552
651,3,28014075.0004883,21166.2397635142
652,4,28188417.5026855,21258.0831023307
653,4,27997711.5754395,21122.0661021438
654,2,28947933.1945801,21527.1561798581
655,5,27600543.2805176,20989.5250783496
656,1,28225604.9926758,21260.5290342488
657,6,27379642.8466797,21028.9527577152
658,3,26545305.1486816,20966.5338518762
